timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-04 05:42:59,🎆NEW YEAR🎆  Tower Defense Simulator ,21153,3781766969,0,3130176,0,1632135,0,108837,0,0.0
2025-01-04 07:13:58,🎆NEW YEAR🎆  Tower Defense Simulator ,20951,3781922974,156005,3130199,23,1632174,39,108840,3,93.74847071878801
2025-01-04 17:12:42,🎆NEW YEAR🎆  Tower Defense Simulator ,16848,3782389724,466750,3130296,97,1632282,108,108849,9,93.74837390179142
