timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-04 20:50:00,❄️🍗Wingin' It Restaurant🐔,449,934872,0,8769,0,1859,0,371,0,0.0
2025-01-04 21:00:00,❄️🍗Wingin' It Restaurant🐔,432,935460,588,8773,4,1860,1,371,0,83.37068579112506
2025-01-04 21:10:01,❄️🍗Wingin' It Restaurant🐔,425,936053,593,8777,4,1862,2,372,1,83.34825425246196
2025-01-04 21:20:01,❄️🍗Wingin' It Restaurant🐔,395,936590,537,8783,6,1864,2,372,0,83.36314847942755
2025-01-04 21:30:01,❄️🍗Wingin' It Restaurant🐔,414,937146,556,8785,2,1866,2,374,2,83.30357142857143
2025-01-04 21:40:01,❄️🍗Wingin' It Restaurant🐔,410,937751,605,8788,3,1870,4,374,0,83.33333333333334
2025-01-04 21:50:01,❄️🍗Wingin' It Restaurant🐔,389,938394,643,8798,10,1872,2,374,0,83.34817453250223
2025-01-04 22:00:00,❄️🍗Wingin' It Restaurant🐔,447,938967,573,8800,2,1874,2,374,0,83.36298932384342
2025-01-04 22:10:00,❄️🍗Wingin' It Restaurant🐔,439,939584,617,8803,3,1874,0,374,0,83.36298932384342
2025-01-04 22:20:00,❄️🍗Wingin' It Restaurant🐔,434,940132,548,8809,6,1876,2,374,0,83.37777777777777
2025-01-04 22:30:00,❄️🍗Wingin' It Restaurant🐔,437,940732,600,8821,12,1878,2,375,1,83.3555259653795
2025-01-04 22:40:01,❄️🍗Wingin' It Restaurant🐔,461,941396,664,8824,3,1878,0,375,0,83.3555259653795
2025-01-04 22:50:01,❄️🍗Wingin' It Restaurant🐔,363,942048,652,8828,4,1880,2,375,0,83.37028824833703
2025-01-04 23:00:01,❄️🍗Wingin' It Restaurant🐔,397,942562,514,8837,9,1884,4,375,0,83.39973439575033
2025-01-04 23:10:01,❄️🍗Wingin' It Restaurant🐔,414,943159,597,8843,6,1884,0,375,0,83.39973439575033
2025-01-04 23:20:01,❄️🍗Wingin' It Restaurant🐔,405,943715,556,8847,4,1886,2,375,0,83.41441839893852
2025-01-04 23:30:01,❄️🍗Wingin' It Restaurant🐔,409,944358,643,8854,7,1889,3,375,0,83.43639575971731
2025-01-04 23:40:00,❄️🍗Wingin' It Restaurant🐔,427,944882,524,8860,6,1890,1,375,0,83.44370860927152
2025-01-04 23:50:00,❄️🍗Wingin' It Restaurant🐔,388,945416,534,8866,6,1892,2,375,0,83.45831495368327
2025-01-05 00:00:01,❄️🍗Wingin' It Restaurant🐔,420,945938,522,8870,4,1892,0,377,2,83.38475099162626
2025-01-05 00:10:01,❄️🍗Wingin' It Restaurant🐔,419,946506,568,8878,8,1892,0,377,0,83.38475099162626
2025-01-05 00:20:01,❄️🍗Wingin' It Restaurant🐔,404,947070,564,8887,9,1893,1,377,0,83.3920704845815
2025-01-05 00:30:00,❄️🍗Wingin' It Restaurant🐔,356,947561,491,8893,6,1893,0,377,0,83.3920704845815
2025-01-05 00:40:00,❄️🍗Wingin' It Restaurant🐔,336,948008,447,8899,6,1893,0,377,0,83.3920704845815
