timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-03 12:34:53,Blending Simulator 2 🥛,28,9258447,0,89530,0,29245,0,6257,0,0.0
2025-01-03 12:42:40,Blending Simulator 2 🥛,29,9258452,5,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 12:52:41,Blending Simulator 2 🥛,28,9258461,9,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 13:02:41,Blending Simulator 2 🥛,33,9258469,8,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 13:12:42,Blending Simulator 2 🥛,30,9258488,19,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 13:22:42,Blending Simulator 2 🥛,26,9258499,11,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 13:32:43,Blending Simulator 2 🥛,18,9258510,11,89529,-1,29245,0,6257,0,82.37564080896851
2025-01-03 13:42:43,Blending Simulator 2 🥛,26,9258513,3,89529,0,29245,0,6257,0,82.37564080896851
2025-01-03 13:52:43,Blending Simulator 2 🥛,26,9258521,8,89529,0,29245,0,6257,0,82.37564080896851
2025-01-03 14:02:44,Blending Simulator 2 🥛,21,9258530,9,89529,0,29245,0,6257,0,82.37564080896851
2025-01-03 14:12:44,Blending Simulator 2 🥛,21,9258537,7,89529,0,29245,0,6257,0,82.37564080896851
2025-01-03 14:22:45,Blending Simulator 2 🥛,18,9258549,12,89529,0,29245,0,6257,0,82.37564080896851
2025-01-03 14:32:45,Blending Simulator 2 🥛,21,9258555,6,89530,1,29245,0,6257,0,82.37564080896851
2025-01-03 14:42:46,Blending Simulator 2 🥛,22,9258573,18,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 14:52:46,Blending Simulator 2 🥛,26,9258578,5,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 15:02:47,Blending Simulator 2 🥛,22,9258588,10,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 15:12:47,Blending Simulator 2 🥛,19,9258597,9,89530,0,29245,0,6257,0,82.37564080896851
2025-01-03 15:24:14,Blending Simulator 2 🥛,23,9258603,6,89530,0,29246,1,6257,0,82.37613722783989
2025-01-03 15:34:14,Blending Simulator 2 🥛,19,9258613,10,89530,0,29246,0,6257,0,82.37613722783989
2025-01-03 15:42:30,Blending Simulator 2 🥛,16,9258622,9,89530,0,29246,0,6257,0,82.37613722783989
2025-01-03 18:34:46,Blending Simulator 2 🥛,27,9258763,141,89531,1,29246,0,6258,1,82.37381703470031
2025-01-03 18:45:47,Blending Simulator 2 🥛,26,9258773,10,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 18:55:00,Blending Simulator 2 🥛,26,9258785,12,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 18:58:12,Blending Simulator 2 🥛,23,9258790,5,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:04:05,Blending Simulator 2 🥛,22,9258794,4,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:06:27,Blending Simulator 2 🥛,24,9258796,2,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:06:54,Blending Simulator 2 🥛,24,9258797,1,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:08:12,Blending Simulator 2 🥛,24,9258800,3,89530,-1,29246,0,6258,0,82.37381703470031
2025-01-03 19:08:36,Blending Simulator 2 🥛,22,9258800,0,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:18:03,Blending Simulator 2 🥛,28,9258806,6,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:18:38,Blending Simulator 2 🥛,28,9258806,0,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:18:58,Blending Simulator 2 🥛,28,9258806,0,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:19:19,Blending Simulator 2 🥛,28,9258807,1,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:24:06,Blending Simulator 2 🥛,22,9258815,8,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:34:06,Blending Simulator 2 🥛,24,9258819,4,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:44:07,Blending Simulator 2 🥛,21,9258823,4,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 19:54:08,Blending Simulator 2 🥛,21,9258832,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 20:03:54,Blending Simulator 2 🥛,24,9258838,6,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 20:13:54,Blending Simulator 2 🥛,28,9258847,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 20:23:55,Blending Simulator 2 🥛,30,9258851,4,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 20:33:56,Blending Simulator 2 🥛,24,9258870,19,89531,1,29246,0,6258,0,82.37381703470031
2025-01-03 20:43:57,Blending Simulator 2 🥛,25,9258887,17,89531,0,29246,0,6258,0,82.37381703470031
2025-01-03 20:53:57,Blending Simulator 2 🥛,21,9258898,11,89530,-1,29246,0,6258,0,82.37381703470031
2025-01-03 21:03:58,Blending Simulator 2 🥛,26,9258906,8,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 21:13:59,Blending Simulator 2 🥛,24,9258924,18,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 21:24:00,Blending Simulator 2 🥛,29,9258933,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 21:34:00,Blending Simulator 2 🥛,29,9258944,11,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 21:44:01,Blending Simulator 2 🥛,30,9258956,12,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 21:54:02,Blending Simulator 2 🥛,29,9258969,13,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:04:02,Blending Simulator 2 🥛,31,9258983,14,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:14:03,Blending Simulator 2 🥛,30,9258990,7,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:24:04,Blending Simulator 2 🥛,27,9259004,14,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:34:04,Blending Simulator 2 🥛,35,9259010,6,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:44:05,Blending Simulator 2 🥛,34,9259025,15,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 22:54:06,Blending Simulator 2 🥛,32,9259035,10,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:04:06,Blending Simulator 2 🥛,32,9259044,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:14:07,Blending Simulator 2 🥛,34,9259053,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:24:08,Blending Simulator 2 🥛,33,9259062,9,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:34:08,Blending Simulator 2 🥛,30,9259072,10,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:44:09,Blending Simulator 2 🥛,26,9259083,11,89530,0,29246,0,6258,0,82.37381703470031
2025-01-03 23:54:10,Blending Simulator 2 🥛,32,9259099,16,89530,0,29246,0,6258,0,82.37381703470031
2025-01-04 00:04:11,Blending Simulator 2 🥛,30,9259116,17,89531,1,29246,0,6258,0,82.37381703470031
2025-01-04 00:14:11,Blending Simulator 2 🥛,31,9259129,13,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 00:24:12,Blending Simulator 2 🥛,35,9259141,12,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 00:34:13,Blending Simulator 2 🥛,27,9259157,16,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 00:44:13,Blending Simulator 2 🥛,29,9259164,7,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 00:54:14,Blending Simulator 2 🥛,33,9259178,14,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 01:04:15,Blending Simulator 2 🥛,38,9259197,19,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 01:14:15,Blending Simulator 2 🥛,39,9259211,14,89530,-1,29246,0,6258,0,82.37381703470031
2025-01-04 01:24:16,Blending Simulator 2 🥛,31,9259228,17,89530,0,29246,0,6258,0,82.37381703470031
2025-01-04 01:34:17,Blending Simulator 2 🥛,35,9259243,15,89530,0,29246,0,6258,0,82.37381703470031
2025-01-04 01:44:17,Blending Simulator 2 🥛,34,9259258,15,89531,1,29246,0,6258,0,82.37381703470031
2025-01-04 01:54:18,Blending Simulator 2 🥛,30,9259277,19,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:04:19,Blending Simulator 2 🥛,32,9259297,20,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:14:19,Blending Simulator 2 🥛,34,9259311,14,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:24:20,Blending Simulator 2 🥛,24,9259325,14,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:34:21,Blending Simulator 2 🥛,23,9259337,12,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:44:22,Blending Simulator 2 🥛,16,9259353,16,89531,0,29246,0,6258,0,82.37381703470031
2025-01-04 02:54:22,Blending Simulator 2 🥛,27,9259363,10,89531,0,29247,1,6258,0,82.37431347697508
