timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-04 20:40:01,[RELEASE🌟] Anime Auras RNG,166,50989,0,1345,0,805,0,63,0,0.0
2025-01-04 20:50:00,[RELEASE🌟] Anime Auras RNG,176,51161,172,1347,2,808,3,64,1,92.66055045871559
2025-01-04 21:00:00,[RELEASE🌟] Anime Auras RNG,162,51318,157,1348,1,814,6,64,0,92.71070615034168
2025-01-04 21:10:01,[RELEASE🌟] Anime Auras RNG,154,51470,152,1349,1,823,9,64,0,92.78466741826381
2025-01-04 21:20:01,[RELEASE🌟] Anime Auras RNG,155,51582,112,1350,1,825,2,64,0,92.80089988751406
2025-01-04 21:30:01,[RELEASE🌟] Anime Auras RNG,160,51706,124,1354,4,833,8,64,0,92.86510590858417
2025-01-04 21:40:01,[RELEASE🌟] Anime Auras RNG,136,51841,135,1355,1,838,5,64,0,92.90465631929047
2025-01-04 21:50:01,[RELEASE🌟] Anime Auras RNG,156,51942,101,1357,2,840,2,64,0,92.92035398230088
2025-01-04 22:00:00,[RELEASE🌟] Anime Auras RNG,170,52061,119,1360,3,842,2,65,1,92.8335170893054
2025-01-04 22:10:00,[RELEASE🌟] Anime Auras RNG,159,52171,110,1363,3,847,5,65,0,92.87280701754386
2025-01-04 22:20:00,[RELEASE🌟] Anime Auras RNG,169,52312,141,1366,3,852,5,65,0,92.91166848418757
2025-01-04 22:30:00,[RELEASE🌟] Anime Auras RNG,162,52467,155,1372,6,863,11,66,1,92.89558665231432
2025-01-04 22:40:01,[RELEASE🌟] Anime Auras RNG,165,52598,131,1376,4,864,1,66,0,92.90322580645162
2025-01-04 22:50:01,[RELEASE🌟] Anime Auras RNG,188,52737,139,1379,3,868,4,66,0,92.93361884368309
2025-01-04 23:00:01,[RELEASE🌟] Anime Auras RNG,185,52938,201,1381,2,876,8,66,0,92.99363057324841
2025-01-04 23:10:01,[RELEASE🌟] Anime Auras RNG,181,53092,154,1380,-1,878,2,66,0,93.00847457627118
2025-01-04 23:20:01,[RELEASE🌟] Anime Auras RNG,188,53261,169,1381,1,882,4,66,0,93.0379746835443
2025-01-04 23:30:01,[RELEASE🌟] Anime Auras RNG,178,53419,158,1385,4,892,10,66,0,93.1106471816284
2025-01-04 23:40:00,[RELEASE🌟] Anime Auras RNG,156,53573,154,1388,3,899,7,66,0,93.16062176165804
2025-01-04 23:50:00,[RELEASE🌟] Anime Auras RNG,176,53716,143,1390,2,906,7,66,0,93.20987654320987
2025-01-05 00:00:01,[RELEASE🌟] Anime Auras RNG,172,53878,162,1392,2,915,9,66,0,93.27217125382263
2025-01-05 00:10:01,[RELEASE🌟] Anime Auras RNG,171,54045,167,1395,3,918,3,66,0,93.29268292682927
2025-01-05 00:20:01,[RELEASE🌟] Anime Auras RNG,170,54187,142,1397,2,926,8,66,0,93.34677419354838
2025-01-05 00:30:00,[RELEASE🌟] Anime Auras RNG,161,54350,163,1398,1,930,4,66,0,93.37349397590361
2025-01-05 00:40:00,[RELEASE🌟] Anime Auras RNG,150,54477,127,1399,1,935,5,66,0,93.4065934065934
