timestamp,name,playing,visits,visitschange,favoritedCount,favoritedchange,upVotes,upVoteschange,downVotes,downVoteschange,upVotespercentage
2025-01-04 20:40:01,chicken nugget club 2 best game ever!,428,21224630,0,1815962,0,19155,0,2154,0,0.0
2025-01-04 20:50:00,chicken nugget club 2 best game ever!,447,21225541,911,1816023,61,19156,1,2154,0,89.89206945096198
2025-01-04 21:00:00,chicken nugget club 2 best game ever!,441,21226372,831,1816063,40,19156,0,2154,0,89.89206945096198
2025-01-04 21:10:01,chicken nugget club 2 best game ever!,392,21227178,806,1816116,53,19158,2,2154,0,89.89301801801803
2025-01-04 21:20:01,chicken nugget club 2 best game ever!,406,21228018,840,1816163,47,19159,1,2154,0,89.89349223478628
2025-01-04 21:30:01,chicken nugget club 2 best game ever!,390,21228852,834,1816218,55,19160,1,2154,0,89.8939664070564
2025-01-04 21:40:01,chicken nugget club 2 best game ever!,398,21229645,793,1816259,41,19160,0,2154,0,89.8939664070564
2025-01-04 21:50:01,chicken nugget club 2 best game ever!,375,21230443,798,1816314,55,19162,2,2154,0,89.89491461812723
2025-01-04 22:00:00,chicken nugget club 2 best game ever!,402,21231187,744,1816371,57,19162,0,2154,0,89.89491461812723
2025-01-04 22:10:00,chicken nugget club 2 best game ever!,403,21231914,727,1816427,56,19163,1,2154,0,89.89538865694047
2025-01-04 22:20:00,chicken nugget club 2 best game ever!,425,21232705,791,1816478,51,19164,1,2154,0,89.89586265128061
2025-01-04 22:30:00,chicken nugget club 2 best game ever!,426,21233469,764,1816526,48,19164,0,2154,0,89.89586265128061
2025-01-04 22:40:01,chicken nugget club 2 best game ever!,364,21234256,787,1816580,54,19164,0,2154,0,89.89586265128061
2025-01-04 22:50:01,chicken nugget club 2 best game ever!,380,21234938,682,1816624,44,19165,1,2153,-1,89.90055352284455
2025-01-04 23:00:01,chicken nugget club 2 best game ever!,401,21235708,770,1816674,50,19167,2,2153,0,89.90150093808631
2025-01-04 23:10:01,chicken nugget club 2 best game ever!,399,21236434,726,1816722,48,19167,0,2153,0,89.90150093808631
2025-01-04 23:20:01,chicken nugget club 2 best game ever!,373,21237121,687,1816762,40,19168,1,2153,0,89.90197457905352
2025-01-04 23:30:01,chicken nugget club 2 best game ever!,379,21237872,751,1816802,40,19171,3,2153,0,89.9033952354155
2025-01-04 23:40:00,chicken nugget club 2 best game ever!,329,21238554,682,1816840,38,19172,1,2153,0,89.90386869871043
2025-01-04 23:50:00,chicken nugget club 2 best game ever!,344,21239235,681,1816874,34,19172,0,2153,0,89.90386869871043
2025-01-05 00:00:01,chicken nugget club 2 best game ever!,319,21239847,612,1816899,25,19173,1,2154,1,89.90012660008439
2025-01-05 00:10:01,chicken nugget club 2 best game ever!,275,21240507,660,1816931,32,19174,1,2154,0,89.90060015003752
2025-01-05 00:20:01,chicken nugget club 2 best game ever!,286,21241029,522,1816967,36,19175,1,2154,0,89.90107365558629
2025-01-05 00:30:00,chicken nugget club 2 best game ever!,314,21241635,606,1817003,36,19175,0,2154,0,89.90107365558629
2025-01-05 00:40:00,chicken nugget club 2 best game ever!,289,21242179,544,1817047,44,19175,0,2154,0,89.90107365558629
